"Austria" "Belgium" "Denmark" "Finland" "France" "Germany" "Italy" "Netherlands" "Norway" "Sweden" "Switzerland" "England.GB.UK" "Ireland" "Greece" "Portugal" "Spain" "Australia" "N..Zealand" "Canada" "USA" "Albania" "Bulgaria" "Czecho.slovakia" "Hungary" "Poland" "Romania" "Croatia" "Macedonia" "Slovenia" "Argentina" "Brazil" "Chile" "Colombia" "Mexico" "Peru" "Uruguay" "Venezuela" "Bolivia" "Costa.Rica" "Cuba" "Dominican.Rep." "Ecuador" "El.Salvador" "Guatemala" "Haïti" "Honduras" "Jamaica" "Nicaragua" "Panama" "Paraguay" "Puerto.Rico" "T....Tobago" "China" "India" "Indonesia" "Japan" "Philippines" "South.Korea" "Thailand" "Taiwan" "Bangladesh" "Burma" "Hong.Kong" "Malaysia" "Nepal" "Pakistan" "Singapore" "Sri.Lanka" "Afghanistan" "Cambodia" "Laos" "Mongolia" "North.Korea" "Vietnam" "Bahrain" "Iran" "Iraq" "Israel" "Jordan" "Kuwait" "Lebanon" "Oman" "Qatar" "Saudi.Arabia" "Syria" "Turkey" "UAE" "Yemen" "W..Bank...Gaza" "Algeria" "Angola" "Benin" "Botswana" "Burkina.Faso" "Burundi" "Cameroon" "Cape.Verde" "Central.African.Republic" "Chad" "Comoro.Islands" "Congo..Brazzaville." "Côte.d.Ivoire" "Djibouti" "Egypt" "Equatorial.Guinea" "Eritrea...Ethiopia" "Gabon" "Gambia" "Ghana" "Guinea" "Guinea.Bissau" "Kenya" "Lesotho" "Liberia" "Libya" "Madagascar" "Malawi" "Mali" "Mauritania" "Mauritius" "Morocco" "Mozambique" "Namibia" "Niger" "Nigeria" "Rwanda" "Sao.Tomé...Principe" "Senegal" "Seychelles" "Sierra.Leone" "Somalia" "South.Africa" "Sudan" "Swaziland" "Tanzania" "Togo" "Tunisia" "Uganda" "Congo.Kinshasa" "Zambia" "Zimbabwe"
3706.074894 5462.204473 6943.104659 4253.286438 5185.850699 3880.887181 3171.70207 5996.12776 5429.510033 6739.226206 9063.698338 6939.37399 3452.898362 1915.007452 2086.405496 2188.970566 7411.576424 8455.649239 7291.479766 9561.34786 1001.338615 1651.031111 3500.637125 2479.958155 2446.892687 1181.951961 NA NA NA 4986.724458 1671.722669 3669.741798 2152.841293 2365.019284 2307.631838 4659.397751 7461.959519 1919.358734 1963.131876 2046.22565 1026.788295 1607.410041 1488.81328 2084.893916 1050.619588 1313.356345 1326.784876 1615.788457 1915.962093 1584.366142 2143.823264 3674.050633 448.0217258 619.0027855 817.2944876 1920.720721 1070.262527 853.8902207 817.0493934 915.7725322 539.5438685 395.6863568 2218.149307 1559.265373 496.3339475 643.0199457 2218.960963 1252.871163 644.7561632 481.9767533 612.9426337 435.4220318 853.8570858 658.0757944 2104.453947 1719.610564 1363.606289 2817.303103 1663.149003 28878.13814 2428.739425 623.0946166 30387.13122 2230.766033 2408.502291 1622.932766 15797.55809 911.2310739 960.199005 1364.739583 1051.821964 1083.628047 348.5066556 474.3126568 360.1424594 670.9511292 449.6476245 771.5770558 475.5022397 560.3052244 1198.207092 1040.877903 1499.581538 909.9025846 539.7625045 390.0745507 3108.377318 607.3646754 1121.79355 303.3210325 289.1527247 650.600947 355.3660397 1054.758856 857.1681204 951.0104714 324.0556034 456.8752297 463.9176731 2489.758687 1455.361355 1133.420417 2159.70487 617.0308462 752.6813238 546.902048 820.3582789 1258.898388 1912.258166 656.2684004 1056.633245 2534.756547 820.8368139 721.0890744 423.7136893 573.9940204 1114.596259 686.8541034 569.7420742 660.910009 700.9793733
3959.367603 5746.921144 6936.486028 4571.195612 5461.107741 4205.811718 3450.709971 6031.968439 5670.275908 6948.845087 9684.14403 7123.364486 3544.068197 2061.754012 2167.662907 2386.492902 7507.343783 7653.324528 7533.490223 10116.24634 1044.557973 1988.63345 3523.729361 2694.968371 2510.237989 1255.709427 NA NA NA 5073.029915 1702.101909 3730.99784 2150.104471 2477.383186 2425.698295 4954.882009 7663.18703 2012.631093 1951.222781 2175.567149 1116.519403 1606.370574 1480.080975 2047.29289 1049.586777 1344.466219 1412.193239 1674.169788 1851.325964 1572.62692 2205.369128 3893.94173 491.0185119 622.909589 864.014163 2125.608509 1150.57671 787.0210411 848.8702115 949.0413074 541.1503052 446.4264056 2295.439885 1440.02307 505.2987024 607.5448181 2252.598071 1292.704043 652.7874495 486.340766 620.5699143 447.4375013 708.9837717 676.3311657 2184.904296 1673.617463 1445.382531 3158.946316 1695.372975 29777.138 2120.7179 649.561438 30523.41113 2373.897662 2264.131967 1784.411094 16709.16025 917.5192861 997.0355731 1346.940207 1076.17967 1063.127082 355.133513 487.1424733 374.1520796 687.4081701 455.3213131 790.4863396 486.3055451 580.9421541 1221.962938 1058.016897 1545.516195 904.6541686 560.5800135 394.5128951 3204.427401 627.389177 1133.535441 316.7334766 305.6961328 771.2454534 369.9928997 1089.855567 924.6244155 971.5639569 331.8413374 464.4950134 477.2111986 2540.240627 1458.018745 1155.455434 2175.675746 629.6416182 791.8215135 567.266078 817.8116029 1281.419951 2018.680078 684.5663198 1097.660339 2591.106408 836.9864309 745.2251521 465.9459337 583.7373394 1106.175064 642.0306323 624.2989169 687.5873846 721.8036552
3967.22063 5668.236468 6955.237656 4674.489671 5564.259911 4552.602009 3590.602717 6083.805915 5813.921634 6996.113504 9630.114226 7090.71981 3642.42269 2053.21178 2161.376018 2558.470494 7417.837696 7796.293753 7833.035205 10315.54461 1046.233054 1893.255333 3597.634511 2761.989525 2521.209018 1333.07276 1709.432124 1429.706194 2347.463813 4717.413859 1752.235235 3893.03185 2214.436653 2503.987733 2487.384278 4956.579441 7991.811114 2030.64875 2113.747238 2206.632481 1172.458583 1746.520167 1549.784249 2024.005054 1091.335627 1356.219929 1504.10737 1899.999142 1900.902051 1505.904069 2341.266278 3940.559704 537.6140339 629.4301075 900.8637011 2336.424682 1185.853489 835.2758418 869.1178832 1028.265471 548.3139665 449.299726 2377.346065 1471.464699 517.0684874 595.5755449 2279.503106 1312.613774 663.5939493 504.4914224 627.9160544 462.1170205 752.9196362 693.7597324 2267.331732 1628.976037 1556.517999 3028.991829 1725.896607 30023.39565 2193.195404 677.4142373 30107.4149 2469.807126 2786.32655 1947.096101 17246.39268 923.5326896 1034.313725 1375.860182 1101.109498 1042.700761 359.4823129 499.6488509 379.2172314 703.7807246 461.1229619 808.9746451 496.9315502 587.4080823 1245.015076 1075.069177 1553.967223 900.02275 571.5233864 398.9478005 3302.308441 631.8716222 1083.966375 321.7317565 322.8723984 667.2278168 375.3307845 1096.943385 963.0009542 991.7546802 339.4053087 472.0796364 490.4394374 2528.454453 1459.772938 1178.107782 2191.324555 642.0328323 830.2512177 573.6669644 816.5169719 1303.245437 2049.663573 696.5772006 1111.993143 2618.992381 854.7717681 751.1645183 464.1510256 593.1455991 1219.79953 664.1424557 668.3484669 714.8305697 724.4619847
4137.045846 5818.152074 7291.590376 4651.640334 5683.940683 4905.087597 3829.820934 6542.532753 5985.189448 7144.570283 9840.303403 7345.798826 3746.805139 2309.425688 2297.950215 2527.623818 7505.25744 7855.851667 7984.259099 10612.608 1088.53742 2085.074771 3544.214881 2785.505074 2617.649569 1411.111771 1843.336094 1489.785413 2450.859241 4874.493824 1784.168521 4112.131182 2276.61705 2439.087348 2578.5644 5138.533749 7956.457398 1800.019559 2352.712972 1900.372944 1122.651201 1760.745193 1615.907543 2032.119914 1039.384615 1421.056472 1691.065904 1887.618455 1969.469584 1508.683695 2470.508167 3954.002654 552.17668 656.8944591 913.1747761 2474.343696 1253.674354 1071.676294 935.2509666 1084.434302 547.1227632 454.0902059 2459.637856 1439.902369 542.8651752 637.2570368 2314.146669 1298.68757 692.0389394 497.3704035 634.9406804 475.5888946 965.9816643 712.2411708 2350.810851 1587.618247 2129.019205 2910.30313 1756.585661 31361.24124 2457.357023 706.5772683 30919.21372 2664.371785 3084.157203 2108.055727 18417.52233 930.1461013 1073.929961 1368.743129 1125.565927 993.7346608 365.6564946 512.2965697 387.7502842 720.0375387 467.0094045 826.9995035 507.3637548 597.9005056 1267.294574 1092.011508 1574.893742 894.2667669 586.6249511 414.8665833 3401.302775 640.4905469 1201.800981 328.5407585 341.5194078 632.7558867 384.335998 1112.93962 948.818018 1011.52277 347.0374908 480.049655 503.570962 2530.355274 1468.4836 1199.060769 2222.673557 654.1757349 831.2651309 583.875816 816.6666667 1324.31353 2084.045601 713.7314186 1132.468073 2674.948293 870.9842077 762.2961815 436.7559566 602.1919036 1243.592833 675.0621018 692.7456556 743.055273 759.6443335
4554.761968 6029.108622 7371.311847 5001.552461 5915.17959 5246.799631 3947.212343 6906.865322 6225.503335 7402.103559 10287.07649 7619.206146 3793.965409 2358.295753 2393.392106 2695.591422 7790.585565 8743.398132 7699.418882 10359.10836 1120.48793 2024.696024 3651.565719 2850.23896 2714.773839 1496.068075 1993.511329 1522.282115 2758.335767 4979.828648 1847.598649 3907.253806 2358.455624 2605.141138 2582.810465 5390.791365 8417.386109 1798.82239 2289.225246 1956.722191 1150.07693 1877.025748 1589.490001 2004.443128 1105.263158 1299.846861 1858.154724 2002.212121 1992.759876 1495.171182 2560.523939 3913.978495 556.936722 671.6632124 962.1885292 2581.869875 1308.095364 1123.956175 898.436119 1145.338738 547.0130793 419.3578276 2545.985031 1490.25706 548.5493349 636.4234968 2320.141003 1296.381138 694.1701167 541.8470287 641.6523777 490.2937536 1012.97218 732.0830663 2435.675745 1545.669126 2463.221025 3374.371495 1786.830498 33199.89516 2745.03133 735.8996407 32302.48817 2911.893197 3452.995684 1992.727782 19884.25814 935.7812551 1116.795367 1436.990149 1079.281895 1002.016354 371.8371087 525.530945 401.9177807 736.777913 460.4740938 845.2540808 518.3095003 618.874389 1289.851927 1109.783375 1622.202977 889.1168181 610.1938263 407.7430491 3504.338815 660.052415 1317.38135 342.7883823 407.8288755 686.8137896 398.8135822 1147.072591 915.2534258 1031.72296 354.7040981 487.526102 517.0230911 2586.934857 1476.279025 1206.608967 2292.126585 666.6192877 867.3407233 604.1784024 849.9150085 1345.731159 2173.632594 743.8896977 1175.451928 2763.328989 888.6384275 786.7676518 460.5822591 611.3803828 1248.923799 647.7832759 720.4598574 771.9412382 772.2374294
5053.344053 6280.222924 7395.359315 5196.816926 6198.787824 5796.972039 4189.735516 7325.844804 6301.378929 7565.553489 10866.86747 7868.134888 3920.260153 2513.577865 2474.748637 2778.324925 8027.412053 8725.437325 8201.251112 10896.85472 1180.895354 2147.782844 3921.886321 3070.169408 2793.780205 1577.91426 2340.381087 1838.964639 2984.872956 5237.000075 1925.743424 3975.3891 2372.758245 2742.400117 2702.992562 5351.581889 8749.86245 1853.423417 2459.821939 2004.981582 1182.570727 1911.557747 1624.39181 1988.528821 1042.199108 1292.8501 2020.412344 2071.576653 2055.102879 1523.038331 2649.333333 4316.037736 576.5302183 675.6412214 948.1514481 2770.749137 1357.509279 1168.856442 945.0215928 1189.05694 507.7195166 466.6049436 2635.721169 1460.258325 553.6312906 635.4979791 2357.71735 1336.702946 695.0685784 517.747099 648.5118651 504.7118285 1053.914468 750.0884254 2517.820254 1504.36263 2298.36342 3701.057177 1625.150178 32256.69417 2886.32362 766.2936512 31137.39697 2922.039516 3039.267633 2092.727181 19683.26654 941.7904522 1157.389635 1445.223898 1148.483809 981.7825357 377.3630066 539.3287581 407.546822 753.9377533 462.745711 863.6607433 529.363452 625.3035807 1312.562025 1127.178865 1631.795696 884.5283614 619.7459927 422.1052569 3610.889082 663.820006 1199.61117 348.9411208 388.9844956 717.9051632 405.0493519 1155.914934 1114.501437 1052.263346 353.7852892 495.7665851 530.7515025 2586.52431 1483.164446 1258.796952 2310.443524 679.306335 864.7025697 610.1382236 763.7770435 1367.371787 2164.359924 759.504522 1190.607554 2830.096095 906.8492075 792.7608437 459.872938 620.6529175 1164.048629 671.7843225 733.6435886 735.7324397 808.4441937
5396.729369 6422.455791 7438.758698 5295.326623 6448.462727 6176.63523 4368.007908 7498.518507 6575.161222 7797.06202 11439.04856 7928.747265 3897.068754 2705.885297 2564.070352 2977.875423 8108.324879 9000.183171 8651.945715 10914.28216 1192.770043 2128.01879 4110.083449 2905.790086 2863.698519 1623.386225 2225.664719 1861.519926 2917.859996 5285.31468 1896.435994 3956.806051 2390.636012 2842.818714 2751.294231 5360.169758 9123.697731 1705.920882 2301.115845 2144.500685 1259.643594 1922.157117 1701.438067 2100.222099 1112.926758 1353.917703 2190.102485 2007.762336 2107.954271 1547.458681 2840.373499 5058.585859 616.1119291 700.6932668 955.3082807 2947.870106 1409.813105 1148.869232 929.6963535 1207.579488 551.3288202 489.6426689 2729.289375 1505.386611 572.4278299 638.3780853 2333.041703 1311.87472 712.6510907 571.5817943 654.5267979 519.6835962 1036.010242 763.6100132 2598.506291 1594.062034 2389.284354 3860.289055 2139.398203 32876.34509 2743.54798 798.8034281 31762.32027 3074.991013 3507.923065 2097.205113 20377.18792 946.2745361 1196.581197 1553.061529 1109.999751 961.5721631 382.5684726 553.6670991 415.7737589 770.8309814 468.5177116 881.433475 540.4936813 635.403502 1334.22459 1144.293252 1651.362396 904.9383104 636.4900625 428.3012065 3717.765986 671.2330718 1236.004963 356.5786817 439.4451864 735.9577053 413.4528507 1169.555002 1313.582791 1072.178802 375.5871632 503.9025495 544.7100842 2593.860619 1451.322134 1242.214257 2339.141545 691.6235375 820.7204179 619.5275373 805.9608204 1387.994585 2142.515165 777.4787308 1210.961976 2913.762465 975.6564638 803.4511656 453.5751854 629.9537434 1223.36813 689.7984523 767.5331402 803.2045406 891.8506439
5716.164264 6494.635565 7965.094942 5490.055504 6761.782424 6492.214084 4590.974041 7613.55741 6711.486441 8092.425107 11705.42333 8017.013416 3914.224764 2858.989222 2658.871695 3046.115401 8090.238535 9045.006138 8606.741597 10919.98674 1269.213447 2330.406666 4319.764684 3169.442959 2962.289586 1671.683962 2624.668913 2036.013049 3241.875435 5460.686494 1994.121509 4264.199787 2399.973547 2964.740121 2809.503504 5332.873669 10057.78594 1613.767997 2405.825766 2406.353979 1295.504289 1940.66502 1739.532771 2148.387097 1027.793696 1372.014076 2468.25919 2110.642407 2269.850852 1578.291741 2968.141593 5344.489476 635.9913901 679.5207824 977.4307407 3135.873353 1442.111086 1205.666909 910.1539631 1253.363693 530.3385038 510.2210542 2824.617184 1454.536527 566.3921255 649.9365123 2318.232776 1297.055273 698.8471079 594.2655907 660.6300499 536.1997157 1086.981815 775.4182684 2673.760078 1766.995414 2299.776725 3991.649601 2104.314218 31447.4621 2716.801878 831.004955 31350.87311 3119.05039 3626.797347 2193.959481 20282.08938 950.8385858 1240.375587 1693.260817 1197.230388 941.4958411 387.7730288 567.6429522 424.2232528 788.0305546 452.5163511 899.2375943 551.668391 645.0084246 1355.970687 1162.014309 1667.735112 925.4554293 648.2856922 417.4086303 3827.420758 678.3553344 1241.289297 363.446736 464.9427113 738.2838961 421.9898253 1183.462268 1324.924391 1092.229015 382.8046862 512.3248492 558.4199444 2613.357796 1419.823169 1246.152098 2370.034594 704.0923714 830.0237553 628.2813272 799.0216062 1408.643976 2185.886959 795.3065598 1231.8305 2951.092012 936.4124121 814.1760616 452.4188738 638.7449592 1158.959586 699.9527252 775.6533839 817.3574445 923.6659225
5906.667441 6441.830051 8095.222908 5474.333685 6855.171507 6736.765261 4822.883142 7482.071624 6652.325037 8082.85442 11296.78784 7965.809649 3869.512492 2963.124649 2672.314382 3149.817572 8305.474779 9185.490633 8534.014767 10630.52801 1326.395065 2508.121125 4609.97735 3367.027015 3056.921864 1723.587153 2675.098935 2195.113088 3583.654682 5697.980988 2111.213041 4391.559576 2382.560505 3025.099223 2742.984239 5402.349445 9816.283401 1615.90297 2604.798304 2362.836457 1319.66056 1939.0665 1724.542 2176.684882 1088.276638 1370.347667 2458.238997 2052.419815 2240.976889 1625.464733 3001.739887 5608.673599 690.3748268 715.638756 946.6745135 3288.895322 1447.891501 1233.829293 913.7394163 1289.720559 509.8038048 488.2234705 2923.863915 1413.017689 591.6891981 642.6297541 2294.574664 1301.056259 723.4405778 607.8769285 666.9600809 551.8104691 1111.906685 784.9487587 2739.475172 1918.062596 2493.225327 4108.795602 2220.091622 29906.75097 2268.800445 866.2867618 31394.39159 3204.354763 3039.471777 2221.862216 20372.00556 955.0512503 1269.549218 1718.879507 1240.539832 955.6595231 392.3398367 583.0051178 428.4849531 805.4622629 448.6613817 916.9990923 563.1968371 648.8811909 1377.688922 1178.957696 1664.632552 946.780815 659.5804054 423.2504563 3939.207208 678.1733812 1187.134136 368.2288708 475.9157541 724.5304217 430.2581519 1186.54411 1410.061006 1112.366879 388.1211997 520.6135182 571.8496187 2609.697138 1388.937888 1280.32249 2376.103401 716.6581698 797.199694 631.2981335 875.4438014 1429.060233 2199.583525 806.5000362 1240.768261 2939.005604 948.6810743 816.5925142 444.2196204 647.0077237 1291.332125 685.138692 737.6446358 776.0286131 906.4446568
6051.182928 6608.281068 8637.155031 5753.521287 6978.776908 7176.68863 5130.814034 7736.675444 6874.477852 8287.930166 11870.1274 8239.799061 4038.281544 3040.264892 2794.047905 3050.451888 8628.438443 9630.126609 8676.236851 11230.16926 1380.996596 2683.529354 4779.849784 3484.114172 3096.222512 1782.964068 2897.003801 2248.897579 3762.24123 5241.468063 2221.001315 4042.026695 2473.468495 3016.437911 2682.494978 4859.676588 9997.403576 1575.184926 2598.012912 2066.836056 1283.531131 1975.265963 1747.798473 2211.083123 1017.37931 1360.18404 2541.405715 2018.898829 2321.669091 1580.840047 3239.018088 5742.610611 686.3897418 717.1338028 986.7263905 3553.935736 1500.72291 1242.75931 992.1160579 1329.002675 526.121337 554.6647317 3026.555234 1467.352863 601.3462201 633.2463562 2186.239919 1284.805948 728.9649052 649.7814963 672.7787354 568.5782958 1119.935103 791.6135182 2796.464063 2023.66774 2523.143953 4501.442327 2287.257083 29568.13591 2395.169213 900.2372568 32896.15194 3458.067937 3062.497377 2251.806755 21426.23433 959.2990876 1330.300273 1993.510819 1225.322801 970.2176357 398.7125494 597.5489413 445.168191 822.4736075 486.2117718 934.1120765 574.0054111 671.0673996 1399.267987 1190.695094 1711.368894 968.8127732 687.0333898 426.6183379 4052.451538 697.2413386 1321.022431 382.8792401 478.1254667 720.2297252 434.8317948 1223.34933 1470.404714 1131.699185 392.9843566 529.5274782 585.99071 2684.997749 1358.413997 1322.758437 2451.304373 729.2676545 808.2419919 652.0144304 783.9122018 1448.222979 2253.955605 840.8618359 1286.872827 2994.728092 1032.7273 842.7331356 453.4999719 655.7375954 1216.975934 700.0244365 747.2411718 914.642797 925.1476802
