"","Albania","Algeria","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia (Plurinational State of)","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Chile","China","China, Hong Kong SAR","China, Macao SAR","Colombia","Comoros","Congo","Costa Rica","Côte d'Ivoire","Croatia","Curaçao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","D.R. of the Congo","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Fiji","Finland","France","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guatemala","Guinea","Guinea-Bissau","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Iran (Islamic Republic of)","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Lao People's DR","Latvia","Lebanon","Lesotho","Liberia","Lithuania","Luxembourg","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Republic of Korea","Republic of Moldova","Romania","Russian Federation","Rwanda","Saint Kitts and Nevis","Saint Lucia","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovakia","Slovenia","South Africa","Spain","Sri Lanka","State of Palestine","St. Vincent and the Grenadines","Sudan (Former)","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Taiwan","Tajikistan","TFYR of Macedonia","Thailand","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","U.R. of Tanzania: Mainland","Uruguay","Uzbekistan","Venezuela (Bolivarian Republic of)","Viet Nam","Yemen","Zambia","Zimbabwe"
"1950",NA,NA,NA,NA,NA,8932.81516498874,NA,NA,14223.1404571766,6668.61020071365,NA,NA,NA,NA,NA,NA,8692.14854404524,NA,NA,NA,NA,4185.48628766579,NA,NA,2901.43028007761,NA,NA,NA,NA,NA,NA,NA,NA,12904.828698018,NA,NA,NA,NA,NA,NA,NA,3599.03224755349,NA,NA,2826.11161358294,NA,NA,NA,2850.92339502984,NA,11773.3297455121,NA,NA,NA,1587.08649707591,2927.11125398756,1532.17775245895,3297.1130370324,NA,NA,483.734212160307,NA,6743.97819866295,7813.3065468403,NA,NA,NA,6458.38751799257,NA,NA,NA,3219.67056221084,NA,NA,NA,2808.12507711166,NA,7837.29856480818,804.757434444792,NA,NA,NA,7695.64705807445,4677.67580229344,6187.74159228274,NA,3110.30739515201,NA,NA,1857.26391779262,NA,NA,NA,NA,NA,NA,NA,NA,11660.6826388407,NA,NA,NA,NA,NA,NA,NA,4317.14201126257,4656.04634955046,NA,NA,NA,1877.18004656875,NA,NA,NA,NA,9967.24641937649,13289.6510248663,2977.5158083138,NA,1920.92197567572,16589.9970361137,NA,1284.28962449029,2550.41042225979,NA,3820.58541205367,2039.68852830144,NA,3527.13100099062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6042.8661322708,4434.95761438994,1461.62515301334,NA,NA,NA,NA,NA,11013.8532825402,20786.5042883581,NA,NA,NA,NA,1224.10748914975,NA,4630.41880508086,NA,3375.50171616976,NA,NA,940.065445894942,NA,NA,10428.4350439396,14490.9401552387,NA,6592.71418342898,NA,9591.16580527652,NA,NA,NA,NA
"1951",NA,NA,NA,NA,NA,9262.19738793261,NA,NA,14168.0079196297,7081.44881660759,NA,NA,NA,NA,NA,NA,8978.57336356928,NA,NA,NA,NA,4475.47324216249,NA,NA,2957.68319109164,NA,NA,NA,NA,NA,NA,NA,NA,13168.7783416331,NA,NA,NA,4958.94001700263,NA,NA,NA,3568.76075724743,NA,NA,2830.2975524942,NA,NA,NA,2847.12523161588,NA,11488.1319411528,NA,NA,2114.32230616866,1784.49079551113,2909.89889019311,1528.21133504865,3340.88459015295,NA,NA,544.165907442248,NA,7239.14587126074,8181.15663555641,NA,NA,NA,7050.2223216474,NA,4473.46981318643,NA,3162.03434150155,NA,NA,NA,2800.54898285327,NA,7584.59264591314,806.162561297357,NA,NA,NA,7968.55374087023,5253.88325484519,6684.34190121222,NA,3334.50711841407,NA,NA,2122.76445589821,NA,NA,NA,NA,NA,NA,NA,NA,11084.2671276904,NA,NA,NA,NA,NA,NA,NA,4393.14133366149,4964.42774499785,NA,NA,NA,1843.60472689698,NA,NA,NA,NA,10062.4070510547,12776.9157387894,3292.59436228931,NA,1994.29027238629,16799.6507514039,NA,1271.50191022484,2464.11867868459,2528.71927873178,4031.09612601638,2187.72899041674,NA,3830.50801838729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6167.62573871455,5138.28875133774,1516.0524604579,NA,NA,NA,NA,NA,11235.4328018889,22210.419291692,NA,1400.63020662681,NA,NA,1132.68310990505,NA,4968.63589503153,NA,4065.97148671002,NA,NA,1032.71507670214,NA,NA,10838.2779260624,15395.1312340318,NA,7517.1820308697,NA,10157.6555094905,NA,NA,NA,NA
"1952",NA,NA,NA,NA,NA,8535.30532920472,NA,NA,13305.7060267016,7061.71300893136,NA,NA,NA,NA,NA,NA,9142.22995852587,NA,NA,NA,NA,4402.23527524145,NA,NA,3083.491153013,NA,NA,NA,NA,NA,NA,NA,NA,13832.7043794574,NA,NA,NA,5094.44664635847,819.480180174485,NA,NA,3686.04505346403,NA,NA,3077.81686917169,NA,NA,NA,3108.73276936893,NA,11661.4590137728,NA,NA,2196.40080142784,1876.0280634414,3163.66134651631,1593.36969658767,3493.23630869973,NA,NA,553.413449301106,NA,7526.02157343334,8383.20933718411,NA,NA,NA,7666.67271693495,NA,4356.05473076133,NA,3125.70986769021,NA,NA,NA,2616.69001906333,NA,7316.66502197529,832.487098508144,NA,NA,NA,7850.34359586898,5042.21229941722,6935.78491866341,NA,3690.63384810926,NA,NA,1946.76167089568,NA,NA,NA,NA,NA,NA,NA,NA,11637.7450260382,NA,NA,NA,NA,NA,NA,NA,4140.30279261739,5007.92602226305,NA,NA,NA,1873.88865503257,NA,NA,NA,NA,10120.4126030243,12472.1658618618,3778.16198160334,NA,2081.63928596339,17491.4368982583,NA,1274.92670310799,2528.76058987429,2480.69764750816,4176.07773771135,2257.83281715995,NA,3969.73680145236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6217.56313776757,5337.7754245508,1561.22969598612,NA,NA,NA,NA,NA,11328.5613462611,22086.8574058788,NA,1510.28241976118,NA,NA,1071.03929818705,NA,5055.52268610571,NA,4293.75286356237,NA,NA,1086.91203338745,NA,NA,10892.8357938163,15749.9994544584,NA,7140.68260704201,NA,11153.1605422076,NA,NA,NA,NA
"1953",NA,NA,NA,NA,NA,8722.82206212513,NA,NA,14471.5970381645,7288.75362145991,NA,NA,NA,NA,NA,NA,9393.10934847697,NA,NA,NA,NA,3621.69797685767,NA,NA,3136.22778445248,NA,NA,NA,NA,NA,NA,NA,NA,14133.8217386307,NA,NA,NA,5458.86077741954,883.32324233482,NA,NA,3851.07548359122,NA,NA,3492.39194287771,NA,NA,NA,3385.98839812925,NA,12285.5807027667,NA,NA,2139.62829388028,2027.94613816459,3189.14936075807,1632.15757075192,3658.55357121465,NA,NA,596.020596444802,NA,7409.1632182429,8616.93812764157,NA,NA,NA,8302.02111846595,NA,4685.77140254856,NA,3138.11831635874,NA,NA,NA,2710.69953304804,NA,8233.02649057153,864.972512073175,NA,NA,NA,8153.38877478134,4831.47541709272,7318.6553903979,3638.20961317156,3884.31172855616,NA,NA,1810.04785293337,NA,NA,NA,NA,NA,NA,NA,NA,11839.2381366658,NA,NA,NA,NA,NA,NA,NA,4059.51752290063,4829.06348841905,NA,NA,NA,1913.95781098188,NA,NA,NA,NA,10931.3376260769,12410.2490540574,3818.40307397561,NA,2086.06083145897,18523.2635316493,NA,1360.19504238612,2621.25214034657,2368.3372873453,4288.6386836368,2387.28254421245,NA,4152.84084395131,NA,1442.07990334806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6320.42652079992,5105.94809447722,1448.17589737669,NA,NA,NA,NA,NA,11640.7462788755,22573.4653587943,NA,1602.13219873518,NA,NA,937.46029549914,NA,5037.0848092204,NA,4722.98038442679,NA,NA,996.593937501006,NA,NA,11358.5930746104,16218.5353756532,NA,7413.05448956062,NA,10965.7828109632,NA,NA,NA,NA
"1954",NA,NA,NA,NA,NA,8837.30551975883,NA,NA,15273.1778342621,7881.47919150794,NA,NA,NA,NA,NA,NA,9761.06267990246,NA,NA,NA,NA,3644.49736085104,NA,NA,3283.75714728771,NA,NA,NA,NA,NA,NA,NA,NA,13570.459330882,NA,NA,NA,5061.902964608,887.047696073637,NA,NA,4017.18803884381,NA,NA,3503.52976137738,NA,NA,NA,3409.70500260205,NA,12794.8270160723,NA,NA,2232.96242764006,2076.61652659976,3400.52333514947,1551.04695251747,3650.7712304743,NA,NA,598.954785426495,NA,7922.18136107045,9038.67744165225,NA,NA,NA,8893.8585251661,NA,4846.60438004195,NA,3094.65781815447,NA,NA,NA,2296.01373524242,NA,8811.7719668868,881.282935220672,NA,NA,NA,8245.23986701952,5618.65920693299,7564.39498893135,3988.03811076375,4027.08370020966,5216.65507589308,NA,1906.02266756008,NA,NA,NA,NA,NA,NA,NA,NA,11673.3001138479,NA,381.776689336157,NA,NA,NA,1988.30317115536,NA,3747.28772044249,5201.4151263211,NA,NA,NA,1905.86556011065,NA,NA,NA,NA,11606.5174656061,13572.3842335934,4165.96056208946,NA,2195.36268731414,19046.108066132,NA,1316.6415314563,2652.19773079441,2450.68198670429,4449.18005575619,2491.23435680043,NA,4311.41413154646,NA,1460.39587052553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6570.10359111865,5759.79501965703,1513.5339108669,NA,NA,NA,NA,NA,12244.6501735457,23590.3664748892,NA,1698.10820699056,NA,NA,994.400311380561,NA,5108.88245113383,NA,4156.90056762712,NA,NA,945.238188107009,NA,NA,11656.5729643267,15845.9400149238,NA,7965.19723429735,NA,11574.7921103159,NA,NA,NA,922.224201913079
"1955",NA,NA,NA,NA,NA,9281.11651131169,NA,NA,15510.992850862,8775.49744131262,NA,NA,NA,NA,NA,NA,10051.9159930396,NA,NA,NA,NA,3920.20654276241,NA,NA,3469.52977497317,NA,NA,NA,NA,NA,NA,NA,NA,14441.7272775892,NA,NA,NA,5213.10865253858,909.831937317056,NA,NA,4057.72238826504,NA,NA,3732.32961402914,NA,NA,NA,3523.60078734053,NA,12643.0773430812,NA,NA,2238.78942660632,2166.23608112045,3462.47198353684,1512.07108837013,3735.08214721663,NA,NA,619.436632720043,NA,8472.99521040878,9439.26759651349,NA,NA,NA,9909.54778812482,1815.4895945286,5059.36718135672,NA,3070.76635761982,NA,NA,NA,2276.63597075321,NA,9552.95327963058,884.325684527947,NA,8982.6790708249,NA,8687.18560362193,6167.90219783756,7914.28993371403,4318.87759968338,4259.12988458878,4181.53295239648,NA,1961.92127326117,NA,NA,NA,NA,NA,NA,NA,NA,12163.6851519258,NA,412.846397742354,2340.82742880103,NA,NA,1988.30317115536,NA,3786.30424687452,5462.84701369741,NA,NA,NA,1730.6293199658,NA,NA,NA,NA,12336.2865331628,13833.0181734731,4184.57350160385,NA,2168.09858522819,19319.8016443374,NA,1294.0040898923,2734.50096989436,2534.94032256134,4540.98836265616,2586.95109842149,NA,4455.404573084,NA,1558.32939070665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6773.42510030297,6053.45533413732,1547.38835537418,NA,NA,NA,NA,NA,12524.4033956592,24925.4532642355,NA,1765.47102746504,NA,NA,892.33745507999,NA,5672.18404774721,NA,4452.05952684989,NA,NA,977.184916467764,NA,NA,11952.9978323754,16677.2969530943,NA,7985.70766982893,NA,11843.5482101905,NA,NA,2393.69319953196,963.624716762428
"1956",NA,NA,NA,NA,NA,9355.99837573264,NA,NA,15180.8331941974,9309.11694607771,NA,NA,NA,NA,NA,NA,10304.1538037126,NA,NA,NA,NA,3664.74498153851,NA,NA,3465.87577457173,NA,NA,NA,NA,NA,NA,NA,NA,15400.1828766766,NA,NA,NA,5134.46268573094,969.316791456068,NA,NA,4030.99823775983,NA,NA,3547.80259359111,NA,NA,NA,4091.95504352755,NA,12818.2099625926,NA,NA,2376.65247051487,2241.82460160688,3481.90827164866,1503.20860030339,3862.14337211936,NA,NA,621.13396483756,NA,8626.40526252253,9823.23249618062,NA,NA,NA,10608.0318033279,2154.21353597509,5459.26616938827,NA,3243.56759847321,NA,NA,NA,2624.44936897646,NA,9634.54099899856,891.527060331681,NA,9863.05944466731,NA,8450.08071974538,6434.73926643616,8191.64885840061,4702.43660633359,4530.3234060059,5622.6007559919,NA,2004.51380952036,NA,NA,NA,NA,NA,NA,NA,NA,12607.4680244719,NA,412.794498947478,2387.18444383784,NA,NA,2226.16754463281,NA,3705.36337782541,5724.8982111398,NA,NA,NA,1715.38674475503,NA,NA,NA,NA,12753.3001786204,13757.0432331689,4072.32737318835,NA,2073.81025742601,19696.678388691,NA,1328.10408387531,2805.13111389693,2513.35571866526,4611.62005293578,2689.77171019426,NA,4628.15166195305,NA,1594.74834734727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6992.35664534232,6464.11549596268,1326.29940809463,NA,NA,NA,NA,NA,12851.4820568468,26235.039241683,NA,1794.57162931554,NA,NA,903.83665257989,NA,6287.03175459698,NA,4368.80971347239,NA,NA,1002.5332447041,NA,NA,12016.575216073,16733.1737939816,NA,7883.139242867,NA,12488.9312431801,NA,NA,2602.88462711316,1033.49507709426
"1957",NA,NA,NA,NA,NA,9547.58375577706,NA,NA,15174.7852701688,9830.55620725485,NA,NA,NA,NA,NA,NA,10428.2616541395,NA,NA,NA,NA,3592.71676806846,NA,NA,3623.46234374161,NA,NA,NA,NA,NA,NA,NA,NA,15267.122008859,NA,NA,NA,5405.06999699412,1027.6427985306,NA,NA,3924.23824028706,NA,NA,3650.50625049041,NA,NA,NA,4444.33361916923,NA,13229.0262499115,NA,NA,2409.95949504961,2217.78317163592,3515.11943910481,1536.45196890337,3917.07373819231,NA,NA,611.362798534559,NA,8578.11120556184,10250.0702394518,NA,NA,NA,11178.4335018369,1920.52154521959,5802.78742507933,NA,3317.45917268814,NA,NA,NA,2574.040651879,NA,9430.82631744887,875.200344807789,NA,11512.6065584927,NA,8257.39501519062,6663.76056720432,8457.82162139935,5216.57365521395,4841.90787073612,5547.50215264311,NA,2034.80839117423,NA,NA,NA,NA,NA,NA,NA,NA,13170.5588098344,NA,451.786623547748,2354.99204621709,NA,NA,2220.06858215684,NA,3727.65927540333,5997.60308008674,NA,NA,NA,1604.22129069749,NA,NA,NA,NA,12984.3146496542,14142.5659223652,4209.34582794201,NA,2071.50468375458,20317.0335071628,NA,1312.15496984835,3019.73821561089,2581.39005500089,4793.15005966448,2740.74556377976,NA,4819.79519438892,NA,1657.43101753788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7109.79913352907,6689.50091654337,1333.08601384997,NA,NA,NA,NA,NA,13066.3367354908,26847.758578514,NA,1864.61839222511,NA,NA,999.856027486458,NA,6908.87342555696,NA,5155.33048465811,NA,NA,1019.79951904376,NA,NA,12107.5600159815,16779.4191474463,NA,8025.521590416,NA,13135.0550153534,NA,NA,2740.85406426862,1088.02365150603
"1958",NA,NA,NA,NA,NA,10006.699644716,NA,NA,15872.8638863156,10158.8583815019,NA,NA,NA,NA,NA,NA,10300.0571135851,NA,NA,NA,NA,3468.21953493126,NA,NA,3896.96545792751,NA,NA,NA,NA,NA,NA,NA,NA,15117.8879418343,NA,NA,NA,5522.99278070187,1127.45443597709,NA,NA,3838.16388024676,NA,NA,3927.49086840121,NA,NA,NA,4036.82999917566,NA,13456.5459180349,NA,NA,2436.64821844111,2124.74425791398,3512.52621841374,1643.14516179646,3851.75757757241,NA,NA,653.25093125705,NA,8499.19081451749,10417.331522692,NA,NA,NA,11597.0682228125,2070.70479010043,6012.58826469712,NA,3361.43034474903,NA,NA,NA,2668.82149629427,NA,10069.4625542706,919.21772721788,NA,12689.6238306818,NA,8308.88727691527,6868.00059530642,8801.97331555406,5245.26308849706,5096.71952867971,6010.88619604034,NA,1981.84123514302,NA,NA,NA,NA,NA,NA,NA,NA,13262.8123643403,NA,444.298207281836,2257.05954643154,NA,NA,2343.41429376568,NA,3605.05361080631,6070.27972300676,NA,NA,NA,1738.70158242188,NA,NA,NA,NA,12671.0657187565,13910.9480571163,4062.60050981109,NA,2148.79555644222,20437.0088004355,NA,1313.46732513255,2982.72636726324,2651.37397918229,4638.82711477509,2758.20763636248,NA,4818.65873987937,NA,1667.87762620331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7132.59980139226,6920.03696960992,1391.48575535363,NA,NA,NA,NA,NA,13304.0265641161,25903.7907762844,NA,1927.76094457062,NA,NA,987.824545558059,NA,7458.29048958624,NA,5385.29167258531,NA,NA,970.181202484534,NA,NA,12094.3693491213,16380.0432176808,NA,7445.09414918582,NA,12978.6879631225,NA,NA,2462.34433043876,1076.43930706287
"1959",NA,NA,NA,NA,NA,9364.97958637955,NA,NA,16485.2828113517,10417.4346649944,NA,NA,NA,1377.74421669837,NA,NA,10602.63677623,NA,1032.51511955149,NA,NA,3473.85839883816,NA,NA,4152.97962183153,NA,NA,NA,689.663139888367,NA,NA,NA,NA,15371.4937947582,NA,NA,NA,5304.45729205787,1143.88151401443,NA,NA,3965.70134170787,NA,NA,3889.02677748801,NA,NA,NA,4195.63916138252,NA,14433.036514809,NA,NA,2529.01676054038,2124.69724539414,3578.44163932996,1672.03926574536,3808.6129209528,NA,NA,627.086440830693,NA,9050.71981491109,10587.0869435406,NA,NA,NA,12418.0066870444,2118.92115876658,6171.67515191865,NA,3414.59386246008,1125.05724026881,NA,NA,2756.97817122066,NA,10143.4661463917,919.16884641121,NA,13830.1303392595,NA,8808.6132312702,7532.37325071818,9308.96331775674,5302.63606930053,5522.32351569933,6802.41655712738,NA,1861.30840042663,NA,NA,NA,NA,NA,NA,NA,NA,13204.8652684673,NA,386.889753498662,2417.93613281985,NA,NA,2331.17720371278,NA,3603.7958061945,5999.10814609118,NA,NA,NA,1734.50743910432,NA,NA,NA,NA,13107.6444974897,14137.1249900065,3859.67637030046,NA,2188.45879492973,20873.8425667388,NA,1323.5780143269,3088.58882233568,2593.24711988141,4679.35326508095,2854.17874703413,NA,5049.96333950872,NA,1645.93036802817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7287.40496966976,6672.84285911549,1380.40993581119,NA,NA,NA,NA,NA,13944.2400717529,27226.1303014122,NA,2006.71140458502,NA,NA,1065.6512284382,NA,7793.04167157252,NA,5118.88424178267,NA,NA,989.664745561444,NA,NA,12402.5248675688,17220.3521442625,NA,7177.00829901973,NA,13146.3286324385,NA,NA,2683.30295645528,1099.91129442512
