"","V1"
"1","Turkey - Belgium - Netherlands - Germany"
"2","Belgium - Germany - Netherlands - Finland"
"3","Belgium - Germany - Netherlands - Brazil"
"4","Belgium - Germany - Norway - Finland"
"5","Finland - Austria - Spain - Italy"
"6","Italy - Austria - Spain - Portugal"
"7","Greece - Austria - Spain - Portugal"
"8","Colombia - Australia - UK"
"9","Colombia - Australia - USA"
"10","Mexico - Germany - Netherlands"
"11","Costa.Rica - Australia - USA"
"12","Costa.Rica - Sweden - Germany"
"13","Costa.Rica - Sweden - USA"
"14","Australia - Netherlands - USA"
"15","Canada - Netherlands - Belgium"
"16","Canada - Netherlands - Denmark"
"17","Canada - Netherlands - Sweden"
"18","Belgium - USA - Netherlands"
"19","Denmark - Netherlands - Germany"
"20","Denmark - Netherlands - USA"
"21","Finland - Germany - France"
"22","Finland - Germany - Italy"
"23","Finland - Austria - France"
"24","Finland - Austria - Netherlands"
"25","Finland - Austria - Norway"
"26","France - Brazil - Germany"
"27","Germany - Sweden - Netherlands"
"28","Netherlands - USA - Sweden"
"29","Argentina - South.Africa"
"30","Argentina - Guatemala"
"31","Chile - Sri.Lanka"
"32","Chile - India"
"33","Japan - Greece"
"34","South.Africa - Peru"
"35","N.Zealand - Uruguay"
"36","N.Zealand - Switzerland"
"37","Switzerland - USA"
"38","Ecuador - USA"
"39","Ecuador - Germany"
"40","Canada - France"
"41","France - USA"
"42","Germany - Greece"
"43","Ireland"
"44","Venezuela"
