"","V1"
"1","France - United.States - Germany"
"2","France - United.States - Italy"
"3","France - United.States - Japan"
"4","Germany - Netherlands - Canada"
"5","Germany - Netherlands - United.States"
"6","Finland - Austria"
"7","Turkey - Japan"
"8","Portugal - Spain"
"9","Portugal - Japan"
"10","Switzerland - Japan"
"11","Switzerland - Germany"
"12","Sweden - Greece"
"13","Sweden - Germany"
"14","Denmark - Japan"
"15","Denmark - Italy"
"16","Denmark - Germany"
"17","Germany - Belgium"
"18","Germany - United.Kingdom"
"19","Italy - Belgium"
"20","Italy - Canada"
"21","Japan - Belgium"
"22","Japan - Canada"
"23","United.Kingdom - Greece"
"24","United.Kingdom - Austria"
"25","United.States - Greece"
"26","United.States - Austria"
"27","Austria - Belgium"
"28","Austria - Canada"
"29","Belgium - Greece"
"30","Canada - Greece"
"31","Albania"
"32","Bulgaria"
"33","Hungary"
"34","Ireland"
"35","Norway"
"36","Poland"
"37","Romania"
