"","V1"
"1","Netherlands - Germany - Morocco"
"2","Portugal - Spain - Morocco"
"3","Finland - Austria - Morocco"
"4","Sweden - Morocco - Germany"
"5","Sweden - Morocco - Greece"
"6","Morocco - Colombia - Austria"
"7","Morocco - Colombia - Germany"
"8","Morocco - Colombia - Greece"
"9","Morocco - France - Germany"
"10","Morocco - France - Italy"
"11","Morocco - Belgium - Austria"
"12","Morocco - Belgium - Germany"
"13","Morocco - Belgium - Greece"
"14","Morocco - Belgium - Italy"
"15","Norway - Morocco"
"16","Peru - South.Africa"
"17","Mexico - Germany"
"18","Brazil - Germany"
"19","Switzerland - Germany"
"20","Turkey - Morocco"
"21","Denmark - Italy"
"22","Denmark - Germany"
"23","United.Kingdom - Greece"
"24","United.Kingdom - Germany"
"25","United.Kingdom - Austria"
"26","Albania"
"27","Bulgaria"
"28","Hungary"
"29","Ireland"
"30","Poland"
"31","Romania"
"32","Chile"
"33","China"
"34","Egypt"
"35","India"
"36","Indonesia"
"37","Malaysia"
"38","Philippines"
"39","Taiwan"
"40","Thailand"
