"","V1"
"1","Finland - Austria"
"2","Portugal - Spain"
"3","Netherlands - Germany"
"4","Switzerland - Germany"
"5","Denmark - Italy"
"6","Denmark - Germany"
"7","Italy - France"
"8","Italy - Belgium"
"9","Austria - United.Kingdom"
"10","Austria - Belgium"
"11","Belgium - Greece"
"12","Belgium - Germany"
"13","Germany - Sweden"
"14","Germany - United.Kingdom"
"15","Germany - France"
"16","United.Kingdom - Greece"
"17","Greece - Sweden"
"18","Albania"
"19","Bulgaria"
"20","Hungary"
"21","Ireland"
"22","Norway"
"23","Poland"
"24","Romania"
"25","Turkey"
