"","V1"
"1","Pakistan - Iceland - Turkey - Germany"
"2","Turkey - Morocco - Iceland - Germany"
"3","Kenya - Belgium - Iceland - Austria"
"4","Kenya - Belgium - Iceland - Germany"
"5","Austria - Belgium - Iceland - Bolivia..Plurinational.State.of."
"6","Bolivia..Plurinational.State.of. - Germany - Iceland - Belgium"
"7","United.States - Australia - Netherlands - Germany"
"8","Guatemala - Bolivia..Plurinational.State.of. - Germany"
"9","Guatemala - Bolivia..Plurinational.State.of. - Japan"
"10","South.Africa - Venezuela..Bolivarian.Republic.of. - Bolivia..Plurinational.State.of."
"11","South.Africa - Venezuela..Bolivarian.Republic.of. - Kenya"
"12","Peru - Argentina - Bolivia..Plurinational.State.of."
"13","Peru - Argentina - Nigeria"
"14","Norway - Iceland - Bolivia..Plurinational.State.of."
"15","Norway - Iceland - Finland"
"16","Canada - Honduras - Germany"
"17","Canada - Honduras - Japan"
"18","Canada - Bolivia..Plurinational.State.of. - Germany"
"19","Canada - Bolivia..Plurinational.State.of. - Japan"
"20","Argentina - Nigeria - El.Salvador"
"21","Argentina - Nigeria - Philippines"
"22","Argentina - Honduras - El.Salvador"
"23","Argentina - Honduras - Germany"
"24","Argentina - Honduras - Japan"
"25","Argentina - Honduras - Philippines"
"26","Argentina - Bolivia..Plurinational.State.of. - El.Salvador"
"27","Argentina - Bolivia..Plurinational.State.of. - Germany"
"28","Argentina - Bolivia..Plurinational.State.of. - Japan"
"29","Argentina - Bolivia..Plurinational.State.of. - Philippines"
"30","Finland - Iceland - Austria"
"31","Finland - Iceland - Germany"
"32","Israel - Germany - Bolivia..Plurinational.State.of."
"33","Israel - Germany - Kenya"
"34","Israel - Germany - Morocco"
"35","Mexico - Germany - Bolivia..Plurinational.State.of."
"36","Mexico - Germany - Honduras"
"37","Mexico - Germany - Kenya"
"38","New.Zealand - Honduras - Germany"
"39","New.Zealand - Honduras - Japan"
"40","New.Zealand - Bolivia..Plurinational.State.of. - Germany"
"41","New.Zealand - Bolivia..Plurinational.State.of. - Japan"
"42","Portugal - Japan - Bolivia..Plurinational.State.of."
"43","Portugal - Japan - Honduras"
"44","Portugal - Japan - Kenya"
"45","United.Kingdom - Germany - Netherlands"
"46","Italy - Japan - Bolivia..Plurinational.State.of."
"47","Italy - Japan - Honduras"
"48","Italy - Japan - Kenya"
"49","Italy - Japan - United.States"
"50","Pakistan - Japan - Turkey"
"51","Pakistan - Iceland - Austria"
"52","Spain - Belgium - Bolivia..Plurinational.State.of."
"53","Spain - Belgium - Kenya"
"54","Denmark - Japan - Bolivia..Plurinational.State.of."
"55","Denmark - Japan - Honduras"
"56","Denmark - Japan - Kenya"
"57","Denmark - Germany - Bolivia..Plurinational.State.of."
"58","Denmark - Germany - Honduras"
"59","Denmark - Germany - Kenya"
"60","Switzerland - Japan - Bolivia..Plurinational.State.of."
"61","Switzerland - Japan - Honduras"
"62","Switzerland - Japan - Kenya"
"63","Switzerland - Germany - Bolivia..Plurinational.State.of."
"64","Switzerland - Germany - Honduras"
"65","Switzerland - Germany - Kenya"
"66","Turkey - Morocco - Japan"
"67","Morocco - Austria - Iceland"
"68","Uruguay - Japan - France"
"69","Uruguay - Japan - Sweden"
"70","Uruguay - Germany - France"
"71","Uruguay - Germany - Iceland"
"72","Uruguay - Germany - Netherlands"
"73","Uruguay - Germany - Sweden"
"74","Uruguay - Austria - Iceland"
"75","France - Japan - Bolivia..Plurinational.State.of."
"76","France - Japan - Honduras"
"77","France - Japan - Kenya"
"78","France - Japan - United.States"
"79","France - Germany - Bolivia..Plurinational.State.of."
"80","France - Germany - Honduras"
"81","France - Germany - Kenya"
"82","France - Germany - United.States"
"83","Kenya - Sweden - Germany"
"84","Kenya - Sweden - Japan"
"85","Kenya - Netherlands - Germany"
"86","Kenya - Belgium - Japan"
"87","Japan - United.States - Australia"
"88","Japan - Sweden - Australia"
"89","Japan - Sweden - Bolivia..Plurinational.State.of."
"90","Japan - Sweden - Honduras"
"91","Japan - Belgium - Bolivia..Plurinational.State.of."
"92","Sweden - Germany - Australia"
"93","Sweden - Germany - Bolivia..Plurinational.State.of."
"94","Sweden - Germany - Honduras"
"95","Austria - United.States - Australia"
"96","Bolivia..Plurinational.State.of. - Germany - Netherlands"
"97","Netherlands - Germany - Honduras"
"98","Trinidad.and.Tobago - Bolivia..Plurinational.State.of."
"99","Ecuador - Bolivia..Plurinational.State.of."
"100","Mauritius - Japan"
"101","Mauritius - Cyprus"
"102","Uganda - Japan"
"103","Uganda - Germany"
"104","Colombia - Germany"
"105","Colombia - Costa.Rica"
"106","Cyprus - Honduras"
"107","Brazil - Uruguay"
"108","Brazil - Kenya"
"109","Brazil - Honduras"
"110","Brazil - Bolivia..Plurinational.State.of."
"111","Costa.Rica - Uruguay"
"112","Costa.Rica - Morocco"
"113","Costa.Rica - Honduras"
"114","Costa.Rica - Bolivia..Plurinational.State.of."
"115","Finland - Japan"
"116","Nigeria - Uruguay"
"117","United.Kingdom - Spain"
"118","United.Kingdom - Japan"
"119","United.Kingdom - Austria"
"120","Pakistan - Spain"
"121","Spain - United.States"
"122","Spain - Honduras"
"123","Austria - Honduras"
"124","Panama"
"125","India"
"126","Ireland"
"127","Nicaragua"
"128","Luxembourg"
"129","Sri.Lanka"
"130","D.R..of.the.Congo"
"131","Egypt"
"132","Thailand"
"133","Ethiopia"
