"","adf.01_noInt","adf.05_noInt","adf.1_noInt","HF.01_noInt","HF.05_noInt","HF.1_noInt","adf.01_wInt","adf.05_wInt","adf.1_wInt","HF.01_wInt","HF.05_wInt","HF.1_wInt"
"2-10-nopois-.2-50",0.5199,0.9014,0.8821,0.5425,0.5425,0.5409,0.0145,0.2883,0.5139,0.2799,0.2799,0.2795
"2-10-nopois-.2-75",0.9667,0.9303,0.875,0.6837,0.6837,0.6814,0.5279,0.8083,0.7408,0.3996,0.3996,0.3988
"2-10-nopois-.2-100",0.9828,0.9293,0.8749,0.7398,0.7398,0.7361,0.9131,0.836,0.7279,0.4695,0.4695,0.4682
"2-10-nopois-.2-200",0.9782,0.9216,0.8644,0.8358,0.8358,0.8289,0.9316,0.8094,0.7037,0.6257,0.6257,0.6229
"2-10-nopois-.6-50",0.5266,0.8791,0.8564,0.5654,0.5654,0.5629,0.0159,0.3195,0.5937,0.3411,0.3411,0.3406
"2-10-nopois-.6-75",0.9584,0.9201,0.8679,0.6962,0.6962,0.6933,0.5481,0.8982,0.879,0.4405,0.4405,0.4399
"2-10-nopois-.6-100",0.9765,0.9257,0.8689,0.7502,0.7502,0.7463,0.9467,0.942,0.886,0.5067,0.5067,0.5048
"2-10-nopois-.6-200",0.978,0.9318,0.8799,0.836,0.836,0.831,0.9904,0.9459,0.8931,0.6339,0.6339,0.6297
"2-10-pois-.2-50",0.595,0.924,0.903,0.497,0.497,0.494,0.017,0.344,0.563,0.275,0.275,0.275
"2-10-pois-.2-75",0.984,0.963,0.927,0.668,0.668,0.664,0.642,0.86,0.78,0.375,0.375,0.373
"2-10-pois-.2-100",0.987,0.935,0.879,0.736,0.736,0.727,0.938,0.862,0.782,0.452,0.452,0.451
"2-10-pois-.2-200",0.986,0.936,0.883,0.831,0.831,0.821,0.95,0.858,0.761,0.607,0.607,0.601
"2-10-pois-.6-50",0.59,0.913,0.888,0.502,0.502,0.499,0.017,0.378,0.666,0.316,0.316,0.316
"2-10-pois-.6-75",0.972,0.942,0.909,0.677,0.677,0.673,0.655,0.922,0.888,0.41,0.41,0.408
"2-10-pois-.6-100",0.978,0.925,0.887,0.745,0.745,0.736,0.969,0.937,0.886,0.479,0.479,0.477
"2-10-pois-.6-200",0.987,0.942,0.893,0.833,0.833,0.823,0.994,0.955,0.915,0.617,0.617,0.611
"3-10-nopois-.2-50",0.6087,0.8613,0.8159,0.63,0.63,0.6212,0.04,0.2516,0.296,0.276,0.276,0.2754
"3-10-nopois-.2-75",0.9296,0.8691,0.8039,0.7158,0.7158,0.6977,0.4555,0.4549,0.3329,0.3874,0.3874,0.3854
"3-10-nopois-.2-100",0.9347,0.8543,0.7872,0.7606,0.7606,0.7366,0.6342,0.4118,0.2895,0.4568,0.4568,0.4521
"3-10-nopois-.2-200",0.9017,0.8103,0.7351,0.8366,0.8366,0.8071,0.5297,0.3322,0.2329,0.6311,0.6311,0.6205
"3-10-nopois-.6-50",0.6166,0.8652,0.8252,0.6376,0.6376,0.6257,0.0489,0.3638,0.5011,0.3506,0.3506,0.35
"3-10-nopois-.6-75",0.9469,0.8932,0.8305,0.7281,0.7281,0.7087,0.5786,0.7115,0.6273,0.4502,0.4502,0.4478
"3-10-nopois-.6-100",0.9635,0.8936,0.8349,0.7689,0.7689,0.7482,0.8693,0.739,0.6241,0.5158,0.5158,0.5116
"3-10-nopois-.6-200",0.9544,0.8819,0.816,0.8383,0.8383,0.8095,0.8621,0.7023,0.5849,0.6486,0.6486,0.6371
"3-10-pois-.2-50",0.583,0.913,0.88,0.534,0.534,0.53,0.02,0.318,0.509,0.331,0.331,0.331
"3-10-pois-.2-75",0.982,0.955,0.908,0.69,0.69,0.679,0.62,0.787,0.705,0.401,0.401,0.399
"3-10-pois-.2-100",0.987,0.92,0.87,0.725,0.725,0.718,0.911,0.806,0.715,0.474,0.474,0.472
"3-10-pois-.2-200",0.979,0.935,0.863,0.814,0.814,0.797,0.932,0.814,0.715,0.636,0.636,0.632
"3-10-pois-.6-50",0.573,0.904,0.867,0.539,0.539,0.534,0.021,0.377,0.637,0.365,0.365,0.365
"3-10-pois-.6-75",0.973,0.939,0.897,0.696,0.696,0.685,0.648,0.898,0.868,0.445,0.445,0.441
"3-10-pois-.6-100",0.975,0.918,0.878,0.732,0.732,0.725,0.963,0.927,0.867,0.497,0.497,0.495
"3-10-pois-.6-200",0.98,0.936,0.883,0.811,0.811,0.794,0.989,0.948,0.902,0.641,0.641,0.636
