"","adf.01_PT","adf.05_PT","adf.1_PT","A.01_PT","A.05_PT","A.1_PT","","adf.01_Perf","adf.05_Perf","adf.1_Perf","A.01_Perf","A.05_Perf","A.1_Perf"
"3-10-0.2-50",299.500044553336,296.117551500337,279.229582574499,292.30187117722,292.221945150158,291.667957516333,NA,9035,9210,8741,8309,8308,8260
"3-10-0.2-75",310.891284485528,294.547607900621,275.85292502588,295.006142751097,294.927991591783,294.239640106832,NA,9761,9189,8653,8757,8756,8684
"3-10-0.2-100",310.214450510885,293.275344332931,274.58211887093,294.916507668964,294.739415059218,293.86545573042,NA,9741,9169,8624,8919,8919,8830
"3-10-0.2-200",308.868717213083,289.154016681038,267.859779839758,299.9407423751,300.099780387979,298.82808492201,NA,9661,9008,8361,9281,9280,9153
"3-10-0.6-50",294.741368865197,288.481413966986,268.87167565743,294.313762800483,294.514228102297,293.978980204409,NA,8946,9127,8583,8353,8353,8298
"3-10-0.6-75",309.227688039307,290.753935767902,272.321642405623,296.82092633385,296.913623822175,295.896565273623,NA,9772,9260,8744,8821,8821,8732
"3-10-0.6-100",309.57747530055,292.101663912053,272.728659570999,298.238627607678,298.202811363196,297.373485925626,NA,9801,9304,8770,9007,9007,8902
"3-10-0.6-200",309.436283312762,290.745859680724,270.291587947177,299.648421387922,299.685297309519,298.670518599414,NA,9805,9289,8736,9260,9262,9140
"3-20-0.2-50",372.409344365347,335.817653611596,294.00809900388,368.920809886539,368.632427591277,367.026884834988,NA,8307,8035,7309,8066,8067,8019
"3-20-0.2-75",375.738385666447,320.428182809678,278.110199810446,377.885792686111,378.675807978839,374.775605703946,NA,8710,7778,7013,8506,8516,8417
"3-20-0.2-100",363.688771739699,304.672849115533,258.065617989255,382.143256536678,381.640839396047,380.833857669332,NA,8529,7552,6741,8725,8731,8668
"3-20-0.2-200",320.131389415237,260.593423552411,216.580863801308,394.936523501659,395.073443250794,391.549543766639,NA,7806,6735,5893,9156,9148,9035
"3-20-0.6-50",392.505505363186,360.102385433219,319.2564621447,379.828097821458,380.472018816864,379.076606737865,NA,8608,8392,7722,8263,8263,8221
