"","adf.01_PT","adf.05_PT","adf.1_PT","R.01_PT","R.05_PT","R.1_PT","","adf.01_Perf","adf.05_Perf","adf.1_Perf","R.01_Perf","R.05_Perf","R.1_Perf"
"3-10-0.2-50",208.527598239216,244.332685462336,232.492067051958,154.066724485741,154.471714835133,153.585536822778,NA,3807,6371,5936,3938,3927,3936
"3-10-0.2-75",287.358510106616,263.207754436493,235.097331209256,167.377706706243,168.642734777266,168.073947070235,NA,8399,7156,5952,4858,4862,4852
"3-10-0.2-100",297.316064449474,263.234404868249,235.954125621579,183.19002223183,183.905734617013,182.938943195146,NA,8864,7150,5978,5574,5579,5545
"3-10-0.2-200",293.90140584614,259.985713439055,232.431072202622,217.733390443244,217.71458273343,217.570329365534,NA,8634,6973,5767,7041,7036,6979
"3-10-0.6-50",216.558650493063,266.528658805204,262.426967880384,173.133225064665,172.614288989577,171.554285397372,NA,4101,7527,7653,4745,4743,4737
"3-10-0.6-75",299.811435517608,292.91550786931,273.400275138313,181.374011086891,181.666594198956,180.886587540628,NA,9153,9028,8262,5407,5404,5385
"3-10-0.6-100",311.268071747688,293.982012375188,274.119619628305,192.211647363607,192.579099176842,191.962556676059,NA,9772,9101,8374,5970,5971,5935
"3-10-0.6-200",310.997020873462,293.736160819959,274.597032571835,226.654680660492,227.154910036068,225.83665389473,NA,9785,9178,8533,7312,7316,7259
"3-20-0.2-50",115.088367583116,73.4051791513992,52.0571135944793,112.529876803734,116.145806966529,114.782200042569,NA,2434,1815,1071,2155,2193,2149
"3-20-0.2-75",107.131670029392,32.1895244285353,31.1084005792547,137.458529020679,139.134916756699,137.250074595726,NA,3134,1217,720,3270,3283,3260
"3-20-0.2-100",64.8661504972437,21.9818982038239,23.0477136399512,159.181492653711,158.729132501822,157.27366415114,NA,2457,949,511,4145,4155,4123
"3-20-0.2-200",15.8228529732568,9.65873032537335,16.9364348601763,221.780092739488,220.582202558132,220.114113085453,NA,1494,625,293,6228,6183,6175
"3-20-0.6-50",180.521090535875,152.132542808215,104.57069322097,154.642578988182,152.222662434065,151.382370320888,NA,3421,3985,3114,3358,3320,3300
"3-20-0.6-75",248.698108244713,122.398217541526,76.3369038297371,172.106327813602,174.124255113204,172.57267119956,NA,6131,3811,2796,4286,4304,4299
"3-20-0.6-100",227.460430234354,107.749291156413,60.8731394979615,193.053784291271,191.679393692617,192.725946806965,NA,5950,3647,2566,5162,5150,5120
"3-20-0.6-200",168.312918458214,73.0273051264926,33.1918939096461,240.296444133226,240.65243396673,238.104562926759,NA,4969,3039,2083,6722,6742,6649
"3-30-0.2-50",212.735507883961,251.495136129569,241.298327510948,146.929088384674,146.613922956056,145.480410932314,NA,809,165,36,291,290,280
"3-30-0.2-75",330.999742581222,301.097185778819,268.011852357658,160.54327870657,160.807361593726,163.341683710755,NA,271,13,1,572,573,578
"3-30-0.2-100",359.631080335972,312.038095907238,267.909733807234,171.463206483936,169.751257184927,171.14269840944,NA,68,4,1,926,924,924
"3-30-0.2-200",353.180292482168,305.06929065947,264.583460115358,208.505476241713,208.86505386518,209.050200039072,NA,0,0,0,2723,2720,2703
"3-30-0.6-50",264.195651941867,308.138118191649,296.551105720018,171.129919296566,169.539831702872,169.680959521764,NA,1559,734,265,779,768,777
"3-30-0.6-75",379.733712686964,353.517419710581,321.535473061157,177.848771796389,176.755644574946,176.678501985798,NA,1197,211,72,1419,1432,1411
"3-30-0.6-100",397.146453225152,359.285696383606,324.666998403401,193.452058620325,193.628517029713,191.525188499718,NA,619,95,31,2211,2203,2197
"3-30-0.6-200",397.500124932236,360.330104155852,322.032170154947,236.848597896436,238.292180103846,237.29185245769,NA,109,18,4,4479,4485,4449
"3-40-0.2-50",104.054032179278,92.6219966469909,75.7249593313379,137.061680251619,136.857884949711,136.57974092288,NA,403,36,4,201,175,195
"3-40-0.2-75",153.627262216416,92.5170172232022,61.7617389657976,150.88662189825,149.936244919089,150.605541860557,NA,99,3,1,368,377,370
"3-40-0.2-100",168.300501183759,87.2314754290305,60.9543931812125,165.008020082732,162.542611863739,162.086079217629,NA,19,1,0,689,689,701
"3-40-0.2-200",133.901519268661,77.8652420405747,59.0641295686765,198.027028263062,197.93267119386,195.977268650881,NA,1,0,0,2313,2306,2285
"3-40-0.6-50",169.627619780813,180.279591527392,158.479617898135,152.981324770534,155.664516182473,155.872903660895,NA,994,306,101,540,555,551
"3-40-0.6-75",276.087224863737,222.401981530582,179.151900292935,172.953980586686,171.13365823002,168.875750320644,NA,612,105,45,1110,1109,1092
"3-40-0.6-100",315.196494504404,228.412807435131,176.867941805881,179.577282769689,178.652549900612,177.197772062801,NA,336,48,14,1808,1762,1803
"3-40-0.6-200",318.799037356711,214.408171643329,159.57886475561,232.524247370531,231.584907699573,231.66900266518,NA,59,10,0,4136,4152,4114
"5-10-0.2-50",225.293055615636,266.292186996566,263.212016608685,163.196488511022,163.315792051481,163.306491426802,NA,1087,5336,6337,3656,3659,3650
"5-10-0.2-75",298.184934344773,285.305135336597,265.648313592238,180.262513809131,180.547786600594,180.670491985721,NA,7941,7919,6826,4527,4527,4521
"5-10-0.2-100",306.131055337715,283.752495747635,262.902139110599,196.310916915856,195.399386193495,196.106515240264,NA,9199,7786,6650,5191,5183,5180
"5-10-0.2-200",302.610989845627,278.989451083629,257.628883369444,235.031338304392,234.825055311353,234.768890532921,NA,8923,7438,6244,6753,6744,6735
"5-10-0.6-50",231.232105794899,280.539716299681,283.718893933182,176.04092935952,176.917955151287,176.400552932697,NA,1094,5966,7481,4022,4019,4019
