"","adf.01_H","adf.05_H","adf.1_H","A.01_H","A.05_H","A.1_H","adf.01_F","adf.05_F","adf.1_F","A.01_F","A.05_F","A.1_F","adf.01_KS","adf.05_KS","adf.1_KS","A.01_KS","A.05_KS","A.1_KS"
"3-10-0.2-50",0.956066666666667,0.984733333333333,0.977233333333333,0.946533333333333,0.946566666666667,0.9445,0.0128142857142857,0.0328142857142857,0.0652285714285714,0.0224714285714286,0.0226428571428571,0.0227857142857143,0.943252380952381,0.951919047619048,0.912004761904762,0.924061904761905,0.923923809523809,0.921714285714286
"3-10-0.2-75",0.995233333333333,0.986666666666667,0.9805,0.9643,0.964333333333333,0.961666666666667,0.00815714285714286,0.0370285714285714,0.0747142857142857,0.0253142857142857,0.0254857142857143,0.0256142857142857,0.98707619047619,0.949638095238095,0.905785714285714,0.938985714285714,0.938847619047619,0.936052380952381
"3-10-0.2-100",0.996066666666667,0.988766666666667,0.981366666666667,0.972366666666667,0.972033333333333,0.9688,0.00984285714285714,0.0407571428571429,0.0781428571428571,0.0293,0.0295,0.0297285714285714,0.98622380952381,0.948009523809524,0.90322380952381,0.943066666666667,0.942533333333333,0.939071428571429
"3-10-0.2-200",0.995933333333333,0.989333333333333,0.984633333333333,0.982866666666667,0.983,0.9782,0.0124142857142857,0.0498714285714286,0.0960142857142857,0.0241285714285714,0.0238714285714286,0.0242,0.983519047619048,0.939461904761905,0.888619047619048,0.958738095238095,0.959128571428571,0.954
"3-10-0.6-50",0.947733333333333,0.9769,0.969866666666667,0.947066666666667,0.947166666666667,0.9453,0.0182714285714286,0.0448857142857143,0.0847428571428571,0.0188142857142857,0.0184714285714286,0.0186714285714286,0.929461904761905,0.932014285714286,0.88512380952381,0.928252380952381,0.928695238095238,0.926628571428571
"3-10-0.6-75",0.9933,0.982466666666667,0.976133333333333,0.9661,0.966033333333333,0.962566666666667,0.0105285714285714,0.0429,0.0803571428571429,0.0225571428571429,0.0223428571428571,0.0228,0.982771428571429,0.939566666666667,0.89577619047619,0.943542857142857,0.943690476190476,0.939766666666667
"3-10-0.6-100",0.993833333333333,0.9855,0.978966666666667,0.973566666666667,0.973566666666667,0.969766666666667,0.0100857142857143,0.0415857142857143,0.0810571428571429,0.0231857142857143,0.0232571428571429,0.0231571428571429,0.983747619047619,0.943914285714286,0.897909523809524,0.950380952380952,0.950309523809524,0.946609523809524
"3-10-0.6-200",0.995133333333333,0.987933333333333,0.9836,0.9828,0.982866666666667,0.9785,0.0109428571428571,0.0457142857142857,0.0895428571428571,0.0246857142857143,0.0246428571428571,0.0246714285714286,0.984190476190476,0.942219047619048,0.894057142857143,0.958114285714286,0.958223809523809,0.953828571428571
"3-20-0.2-50",0.866266666666667,0.8586,0.8279,0.864733333333333,0.863833333333333,0.8604,0.0269941176470588,0.0564176470588235,0.0902294117647059,0.0293647058823529,0.0293823529411765,0.0298470588235294,0.839272549019608,0.802182352941176,0.737670588235294,0.83536862745098,0.834450980392157,0.830552941176471
"3-20-0.2-75",0.8872,0.8336,0.803566666666667,0.901566666666667,0.9024,0.894666666666667,0.0292,0.0638470588235294,0.0999058823529412,0.0308470588235294,0.0304058823529412,0.0317294117647059,0.858,0.769752941176471,0.703660784313725,0.870719607843137,0.871994117647059,0.862937254901961
"3-20-0.2-100",0.872466666666667,0.813733333333333,0.777666666666667,0.919666666666667,0.918433333333333,0.915266666666667,0.0354352941176471,0.0735470588235294,0.114705882352941,0.0316764705882353,0.0317941176470588,0.0317,0.83703137254902,0.740186274509804,0.662960784313725,0.887990196078431,0.886639215686274,0.883566666666667
"3-20-0.2-200",0.801033333333333,0.741933333333333,0.7091,0.955733333333333,0.955233333333333,0.946333333333333,0.0544,0.0969823529411765,0.141376470588235,0.0297294117647059,0.0295,0.0302941176470588,0.746633333333333,0.644950980392157,0.567723529411765,0.926003921568627,0.925733333333333,0.916039215686275
"3-20-0.6-50",0.900833333333333,0.905266666666667,0.883366666666667,0.879533333333333,0.8818,0.8778,0.0193647058823529,0.047,0.0812823529411765,0.0242764705882353,0.0242882352941176,0.0244647058823529,0.88146862745098,0.858266666666667,0.80208431372549,0.855256862745098,0.857511764705882,0.853335294117647
"3-20-0.6-75",0.935866666666667,0.8925,0.8664,0.9193,0.918466666666667,0.913966666666667,0.0188235294117647,0.0515529411764706,0.089,0.0252352941176471,0.0251529411764706,0.0255352941176471,0.917043137254902,0.840947058823529,0.7774,0.894064705882353,0.893313725490196,0.88843137254902
"3-20-0.6-100",0.9342,0.8866,0.859933333333333,0.9389,0.939,0.929866666666667,0.0192588235294118,0.0529352941176471,0.0905529411764706,0.0241705882352941,0.0241647058823529,0.0254647058823529,0.914941176470588,0.833664705882353,0.769380392156863,0.914729411764706,0.914835294117647,0.904401960784314
