"","adf.01_H","adf.05_H","adf.1_H","R.01_H","R.05_H","R.1_H","adf.01_F","adf.05_F","adf.1_F","R.01_F","R.05_F","R.1_F","adf.01_KS","adf.05_KS","adf.1_KS","R.01_KS","R.05_KS","R.1_KS"
"3-10-0.2-50",0.684866666666667,0.876666666666667,0.915766666666667,0.8478,0.848766666666667,0.846566666666667,0.0624571428571429,0.0874571428571429,0.140014285714286,0.316828571428571,0.3164,0.317257142857143,0.622409523809524,0.789209523809524,0.775752380952381,0.530971428571429,0.532366666666667,0.529309523809524
"3-10-0.2-75",0.944266666666667,0.958533333333333,0.9501,0.899233333333333,0.902066666666667,0.900733333333333,0.0312,0.0913571428571429,0.157042857142857,0.321757142857143,0.320228571428571,0.320857142857143,0.913066666666667,0.867176190476191,0.793057142857143,0.57747619047619,0.581838095238095,0.579876190476191
"3-10-0.2-100",0.979933333333333,0.965466666666667,0.959733333333333,0.926566666666667,0.927533333333333,0.925333333333333,0.0280428571428571,0.0954571428571429,0.1617,0.294814285714286,0.293342857142857,0.294471428571429,0.951890476190476,0.870009523809524,0.798033333333333,0.631752380952381,0.634190476190476,0.630861904761905
"3-10-0.2-200",0.9849,0.974866666666667,0.9695,0.9569,0.9564,0.954733333333333,0.0375,0.109214285714286,0.178914285714286,0.211942857142857,0.211585714285714,0.210642857142857,0.9474,0.865652380952381,0.790585714285714,0.744957142857143,0.744814285714286,0.744090476190476
"3-10-0.6-50",0.692533333333333,0.894933333333333,0.934566666666667,0.869766666666667,0.868766666666667,0.866766666666667,0.0511142857142857,0.0495714285714286,0.0792857142857143,0.275,0.275757142857143,0.277342857142857,0.641419047619048,0.845361904761905,0.855280952380952,0.594766666666667,0.593009523809524,0.58942380952381
"3-10-0.6-75",0.9595,0.978566666666667,0.969133333333333,0.916733333333333,0.9169,0.915733333333333,0.0137285714285714,0.0364142857142857,0.0738714285714286,0.291485714285714,0.290671428571429,0.292157142857143,0.945771428571429,0.942152380952381,0.895261904761905,0.625247619047619,0.626228571428571,0.623576190476191
"3-10-0.6-100",0.994133333333333,0.9836,0.9743,0.9375,0.937966666666667,0.936133333333333,0.00694285714285714,0.0366857142857143,0.0751571428571429,0.275214285714286,0.274442857142857,0.274757142857143,0.987190476190476,0.946914285714286,0.899142857142857,0.662285714285714,0.663523809523809,0.661376190476191
"3-10-0.6-200",0.995566666666667,0.986466666666667,0.980733333333333,0.965433333333333,0.966066666666667,0.962966666666667,0.0081,0.0386285714285714,0.0777428571428571,0.192414285714286,0.191457142857143,0.192842857142857,0.987466666666667,0.947838095238095,0.902990476190476,0.773019047619048,0.774609523809524,0.770123809523809
"3-20-0.2-50",0.368166666666667,0.370966666666667,0.384166666666667,0.5843,0.592366666666667,0.587466666666667,0.111076470588235,0.183270588235294,0.240770588235294,0.259023529411765,0.256835294117647,0.256247058823529,0.257090196078431,0.187696078431373,0.143396078431373,0.325276470588235,0.33553137254902,0.331219607843137
"3-20-0.2-75",0.398566666666667,0.3054,0.356066666666667,0.684866666666667,0.687133333333333,0.683266666666667,0.141017647058824,0.220188235294118,0.268447058823529,0.277505882352941,0.275270588235294,0.276776470588235,0.257549019607843,0.0852117647058823,0.0876196078431372,0.407360784313725,0.411862745098039,0.406490196078431
"3-20-0.2-100",0.329733333333333,0.299133333333333,0.354633333333333,0.748133333333333,0.748733333333333,0.744233333333333,0.169305882352941,0.239641176470588,0.288588235294118,0.274182352941176,0.275688235294118,0.275729411764706,0.160427450980392,0.0594921568627451,0.0660450980392157,0.473950980392157,0.473045098039216,0.468503921568627
"3-20-0.2-200",0.245666666666667,0.283666666666667,0.350833333333333,0.8731,0.8696,0.868733333333333,0.205217647058824,0.2571,0.301817647058824,0.224352941176471,0.224547058823529,0.224941176470588,0.0404490196078431,0.0265666666666667,0.0490156862745098,0.648747058823529,0.645052941176471,0.643792156862745
"3-20-0.6-50",0.461066666666667,0.4858,0.438633333333333,0.667466666666667,0.662733333333333,0.659733333333333,0.0761294117647059,0.122317647058824,0.171270588235294,0.226764705882353,0.228570588235294,0.228270588235294,0.384937254901961,0.363482352941176,0.267362745098039,0.440701960784314,0.434162745098039,0.431462745098039
"3-20-0.6-75",0.641166666666667,0.4468,0.392666666666667,0.750366666666667,0.7545,0.749966666666667,0.0729058823529412,0.145623529411765,0.193547058823529,0.246688235294118,0.245188235294118,0.2454,0.568260784313726,0.301176470588235,0.199119607843137,0.503678431372549,0.509311764705882,0.504566666666667
"3-20-0.6-100",0.611533333333333,0.422733333333333,0.365766666666667,0.8187,0.817366666666667,0.8177,0.0845882352941176,0.155217647058824,0.205464705882353,0.2485,0.250570588235294,0.248523529411765,0.526945098039216,0.26751568627451,0.160301960784314,0.5702,0.566796078431373,0.569176470588235
"3-20-0.6-200",0.5088,0.358066666666667,0.309233333333333,0.906533333333333,0.9072,0.9002,0.111705882352941,0.174458823529412,0.221182352941176,0.208576470588235,0.208294117647059,0.208976470588235,0.397094117647059,0.183607843137255,0.0880509803921569,0.697956862745098,0.698905882352941,0.691223529411765
"3-30-0.2-50",0.491733333333333,0.702666666666667,0.776433333333333,0.590433333333333,0.5901,0.587366666666667,0.075462962962963,0.118551851851852,0.163455555555556,0.206103703703704,0.206448148148148,0.206703703703704,0.41627037037037,0.584114814814815,0.612977777777778,0.38432962962963,0.383651851851852,0.380662962962963
"3-30-0.2-75",0.814366666666667,0.8717,0.883733333333333,0.6681,0.6689,0.672933333333333,0.083062962962963,0.131388888888889,0.178437037037037,0.231681481481481,0.231711111111111,0.229603703703704,0.731303703703704,0.740311111111111,0.705296296296296,0.436418518518519,0.437188888888889,0.44332962962963
"3-30-0.2-100",0.909366666666667,0.907533333333333,0.8953,0.7138,0.709566666666667,0.7117,0.0876259259259259,0.1332,0.184292592592593,0.241096296296296,0.241577777777778,0.240322222222222,0.821740740740741,0.774333333333333,0.711007407407407,0.472703703703704,0.467988888888889,0.471377777777778
"3-30-0.2-200",0.928533333333333,0.9201,0.913266666666667,0.781933333333333,0.782066666666667,0.7819,0.0991111111111111,0.146366666666667,0.198455555555556,0.216562962962963,0.216025925925926,0.215611111111111,0.829422222222222,0.773733333333333,0.714811111111111,0.56537037037037,0.566040740740741,0.566288888888889
"3-30-0.6-50",0.547233333333333,0.755266666666667,0.8205,0.6325,0.630133333333333,0.629466666666667,0.0553333333333333,0.0838481481481481,0.116696296296296,0.190888888888889,0.192085185185185,0.191459259259259,0.4919,0.671418518518519,0.703803703703704,0.441611111111111,0.438048148148148,0.438007407407407
